,x-0 (monot5),x-0 (monot5),y-0 (convrerank),y-0 (convrerank)
,mean,count,mean,count
turn,,,,
1,0.065628,25,0.046684,25
2,-0.003021739130434789,23,0.08381304347826087,23
3,-0.010979999999999995,25,0.126572,25
4,-0.029847999999999996,25,-0.006803999999999999,25
5,0.06697499999999999,24,0.150875,24
6,0.14094166666666666,24,0.10177499999999999,24
7,-0.025799999999999993,22,0.038250000000000006,22
8,-0.05088095238095238,21,0.06313333333333333,21
9,-0.1272,10,-0.12235,10
10,-0.06645000000000001,6,-0.07948333333333334,6
11,0.852,1,0.1327,1
12,0.295,1,0.3394,1
13,0.1974,1,-0.057700000000000015,1
