qid,turn,monoT5 - wtl,ConvRerank - wtl
31_1,1,1,1
31_2,2,1,1
31_3,3,1,0
31_4,4,1,0
31_5,5,1,1
31_6,6,1,1
31_7,7,1,1
31_8,8,1,1
31_9,9,1,1
32_1,1,0,0
32_10,10,0,0
32_11,11,1,0
32_2,2,1,1
32_3,3,0,1
32_4,4,1,1
32_5,5,1,1
32_6,6,1,1
32_7,7,0,1
32_8,8,1,0
32_9,9,0,0
33_1,1,1,0
33_2,2,0,0
33_3,3,0,0
33_4,4,1,1
33_5,5,0,0
33_6,6,1,0
33_7,7,1,1
33_8,8,0,0
34_1,1,1,0
34_2,2,0,1
34_3,3,1,1
34_4,4,0,1
34_5,5,0,1
34_6,6,1,1
34_7,7,1,1
34_8,8,1,1
37_1,1,1,1
37_2,2,1,1
37_3,3,1,0
37_4,4,1,1
37_5,5,0,0
37_6,6,1,1
37_7,7,1,1
37_8,8,1,1
40_1,1,0,0
40_2,2,1,1
40_3,3,1,1
40_4,4,1,1
40_5,5,1,1
40_6,6,1,0
40_7,7,0,1
40_8,8,0,1
49_1,1,0,0
49_2,2,0,1
49_3,3,0,0
49_4,4,0,1
49_5,5,1,1
49_6,6,0,1
49_7,7,1,1
49_8,8,0,1
50_1,1,1,0
50_2,2,1,1
50_3,3,0,0
50_4,4,0,1
50_5,5,0,0
50_6,6,1,1
50_7,7,1,1
50_8,8,1,1
54_1,1,1,1
54_2,2,1,1
54_3,3,1,1
54_4,4,0,0
54_5,5,1,1
54_6,6,0,0
54_7,7,1,1
54_8,8,1,1
54_9,9,1,1
56_1,1,1,1
56_2,2,1,1
56_3,3,0,0
56_4,4,1,1
56_5,5,1,1
56_6,6,0,1
56_7,7,1,1
56_8,8,1,1
58_1,1,1,1
58_2,2,0,1
58_3,3,0,1
58_4,4,0,0
58_5,5,0,1
58_6,6,1,1
58_7,7,0,1
58_8,8,0,0
59_1,1,0,0
59_2,2,1,0
59_3,3,0,1
59_4,4,0,0
59_5,5,1,1
59_6,6,1,1
59_7,7,1,1
59_8,8,1,1
61_1,1,0,1
61_2,2,0,1
61_3,3,0,1
61_4,4,1,0
61_5,5,1,1
61_6,6,1,1
61_7,7,1,1
61_8,8,0,0
67_1,1,0,0
67_10,10,1,1
67_11,11,1,1
67_2,2,1,1
67_3,3,0,0
67_4,4,0,0
67_5,5,1,1
67_6,6,0,1
67_7,7,1,1
67_8,8,1,1
67_9,9,0,1
68_1,1,0,1
68_10,10,0,1
68_11,11,1,0
68_2,2,1,1
68_3,3,0,0
68_4,4,0,1
68_5,5,0,1
68_6,6,0,0
68_7,7,0,0
68_8,8,0,0
68_9,9,1,1
69_1,1,0,1
69_10,10,1,1
69_2,2,1,1
69_3,3,1,1
69_4,4,1,1
69_5,5,1,1
69_6,6,0,1
69_7,7,1,1
69_8,8,1,1
69_9,9,1,1
75_1,1,1,1
75_2,2,1,1
75_3,3,1,1
75_4,4,0,1
75_5,5,1,1
75_6,6,1,1
75_8,8,1,1
77_1,1,1,1
77_2,2,1,1
77_3,3,0,0
77_4,4,1,1
77_5,5,1,1
77_6,6,0,1
77_7,7,0,0
77_8,8,1,1
78_1,1,0,0
78_2,2,1,1
78_3,3,0,1
78_4,4,1,1
78_5,5,1,1
78_6,6,0,1
78_7,7,0,1
78_8,8,0,0
79_1,1,1,1
79_2,2,0,0
79_3,3,1,0
79_4,4,1,0
79_5,5,0,0
79_6,6,1,1
79_7,7,1,1
79_8,8,1,0
79_9,9,1,0
