Run, nDCG@3, nDCG@5, nDCG@10, nDCG@100
eval.cqe-hybrid.conv.rerank.trec,0.4235,0.4171,0.3935,0.4099
eval.cqe-hybrid.rerank.trec,0.4280,0.4131,0.3941,0.4109
eval.cqe-hybrid.trec,0.3303,0.3226,0.3137,0.3684
eval.cqe.conv.rerank.3B.trec,0.4796,0.4623,0.4399,0.4203
eval.cqe.conv.rerank.large.trec,0.4659,0.4531,0.4267,0.4130
eval.cqe.conv.rerank.reverseview.trec,0.4030,0.3973,0.3757,0.3886
eval.cqe.conv.rerank.singleview0.trec,0.3958,0.3850,0.3595,0.3818
eval.cqe.conv.rerank.singleview1.trec,0.3919,0.3842,0.3621,0.3818
eval.cqe.conv.rerank.t10.trec,0.3590,0.3590,0.3450,0.3709
eval.cqe.conv.rerank.t100.trec,0.4192,0.4110,0.3905,0.3948
eval.cqe.conv.rerank.t20.trec,0.4122,0.4053,0.3752,0.3892
eval.cqe.conv.rerank.t30.trec,0.4083,0.4045,0.3829,0.3903
eval.cqe.conv.rerank.t40.trec,0.4223,0.4123,0.3903,0.3956
eval.cqe.conv.rerank.t50.trec,0.4314,0.4128,0.3894,0.3965
eval.cqe.conv.rerank.trec,0.4322,0.4255,0.4037,0.4555
eval.cqe.rerank.3B.trec,0.4552,0.4469,0.4260,0.4113
eval.cqe.rerank.large.trec,0.4338,0.4269,0.4127,0.4038
eval.cqe.rerank.trec,0.4181,0.4099,0.3894,0.3945
eval.cqe.trec,0.3186,0.3106,0.2976,0.3497
eval.cqe.zs.rerank.trec,0.3818,0.3734,0.3566,0.3818
eval.hqe.conv.rerank.trec,0.3891,0.3761,0.3584,0.3836
eval.hqe.rerank.trec,0.3791,0.3680,0.3558,0.3765
eval.hqe.trec,0.1640,0.1617,0.1550,0.2044
eval.manual.dpr.conv.rerank.trec,0.4745,0.4687,0.4586,0.5111
eval.manual.dpr.rerank.trec,0.5563,0.5326,0.5159,0.5463
eval.manual.dpr.trec,0.4672,0.4570,0.4440,0.5005
Run, Recall@100
hqe,0.2717
cqe,0.4083
cqe-hybrid,0.4358
manual.dpr,0.5780
